epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7698.77,1.91293,1.23137,1.48939,0.87871,0.65873,0.74131,0.33092,1.86171,1.30895,1.78728,0.00157034,0.00157034,0.00157034
43,7888.86,1.89242,1.22258,1.43788,0.93187,0.65076,0.74603,0.3331,1.92603,1.27927,1.75319,0.00156798,0.00156798,0.00156798
44,8077.44,1.92429,1.21756,1.45011,0.89134,0.65351,0.72079,0.30171,1.9862,1.2373,1.75378,0.00156562,0.00156562,0.00156562
45,8265.53,1.88514,1.18641,1.42412,0.92082,0.67248,0.74628,0.29087,1.83544,1.26966,1.74785,0.00156326,0.00156326,0.00156326
46,8458.56,1.86507,1.17326,1.44594,0.84042,0.70229,0.7611,0.33228,1.79723,1.14,1.68047,0.00156091,0.00156091,0.00156091
47,8645.6,1.85834,1.16987,1.45702,0.75562,0.69395,0.74465,0.33692,1.72582,1.24353,1.68082,0.00155855,0.00155855,0.00155855
48,8834.13,1.88457,1.18727,1.45487,0.88799,0.68948,0.77391,0.361,1.65715,1.17137,1.5771,0.00155619,0.00155619,0.00155619
49,9021.93,1.88129,1.17876,1.41641,0.86851,0.66151,0.75114,0.33855,1.81406,1.23172,1.6557,0.00155383,0.00155383,0.00155383
50,9210.53,1.85359,1.12133,1.39133,0.88602,0.65873,0.73723,0.33242,1.9663,1.42309,1.87859,0.00155148,0.00155148,0.00155148
51,9390.06,1.85626,1.13252,1.39595,0.83442,0.59772,0.6942,0.33035,1.74154,1.30617,1.61073,0.00154912,0.00154912,0.00154912
52,9574.2,1.84577,1.14143,1.3978,0.90249,0.70734,0.77488,0.36604,1.79558,1.14605,1.66764,0.00154676,0.00154676,0.00154676
53,9762.2,1.83005,1.12626,1.38628,0.84947,0.7156,0.77197,0.34181,1.83278,1.18799,1.69029,0.0015444,0.0015444,0.0015444
54,9952.76,1.88739,1.14417,1.39867,0.72438,0.6746,0.7196,0.30561,2.04774,1.16023,1.795,0.00154205,0.00154205,0.00154205
55,10142.3,1.84471,1.13364,1.39929,0.91688,0.64881,0.74916,0.32566,1.71016,1.2521,1.59167,0.00153969,0.00153969,0.00153969
56,10330.5,1.83497,1.12783,1.38953,0.89795,0.66608,0.76516,0.34898,1.68281,1.2516,1.61578,0.00153733,0.00153733,0.00153733
57,10519.3,1.83636,1.13422,1.40043,0.92745,0.68452,0.76146,0.36854,1.78701,1.14714,1.61966,0.00153497,0.00153497,0.00153497
58,10707.7,1.83776,1.11081,1.38264,0.85356,0.67238,0.73549,0.35047,1.87023,1.22314,1.69444,0.00153262,0.00153262,0.00153262
59,10895.8,1.80142,1.10357,1.38282,0.87996,0.68552,0.76126,0.3416,1.85482,1.36261,1.74244,0.00153026,0.00153026,0.00153026
60,11084.7,1.81141,1.07461,1.34471,0.90445,0.71677,0.76559,0.34477,1.74229,1.15254,1.59728,0.0015279,0.0015279,0.0015279
61,11273.4,1.79732,1.07698,1.38502,0.87792,0.67956,0.74203,0.34833,1.72755,1.26431,1.62135,0.00152554,0.00152554,0.00152554
62,11461.8,1.82596,1.09698,1.38029,0.93921,0.73517,0.77563,0.35782,1.79612,1.14421,1.69466,0.00152319,0.00152319,0.00152319
63,11649.6,1.79616,1.07311,1.37857,0.85572,0.69395,0.74848,0.32884,2.03413,1.36016,1.81334,0.00152083,0.00152083,0.00152083
64,11838.1,1.81081,1.10008,1.41747,0.91549,0.70055,0.7606,0.35184,1.72935,1.0949,1.5709,0.00151847,0.00151847,0.00151847
65,12025,1.78203,1.04317,1.34438,0.91572,0.73958,0.7787,0.35547,1.62124,1.10426,1.53085,0.00151611,0.00151611,0.00151611
66,12214.1,1.7935,1.08339,1.38379,0.9009,0.7349,0.77796,0.39184,1.68446,1.11329,1.69994,0.00151376,0.00151376,0.00151376
67,12402.3,1.79112,1.0817,1.38643,0.93825,0.6681,0.74176,0.33173,1.95485,1.36002,1.8262,0.0015114,0.0015114,0.0015114
68,12592.1,1.80388,1.06648,1.36915,0.86667,0.72073,0.77167,0.36567,1.94562,1.05078,1.75755,0.00150904,0.00150904,0.00150904
69,12779.7,1.76475,1.0442,1.34696,0.84037,0.74901,0.78377,0.37147,1.63808,1.04601,1.51409,0.00150668,0.00150668,0.00150668
70,12967.2,1.82175,1.07581,1.38242,0.90822,0.69185,0.75328,0.32781,1.78503,1.16722,1.67317,0.00150432,0.00150432,0.00150432
71,13156.5,1.76515,1.03608,1.35496,0.93496,0.73016,0.80375,0.38644,1.77896,0.96253,1.57587,0.00150197,0.00150197,0.00150197
72,13346,1.74796,1.02773,1.32501,0.95583,0.73016,0.79068,0.37623,1.52753,1.0373,1.46071,0.00149961,0.00149961,0.00149961
73,13533.3,1.74496,1.02717,1.34526,0.9385,0.6975,0.77486,0.36255,1.71307,1.05151,1.60186,0.00149725,0.00149725,0.00149725
74,13722.3,1.73967,1.02093,1.343,0.88318,0.70734,0.77131,0.35363,1.74928,1.09157,1.60029,0.00149489,0.00149489,0.00149489
75,13913.8,1.76617,1.01502,1.34049,0.93455,0.70288,0.78628,0.38982,1.71917,0.94366,1.52841,0.00149254,0.00149254,0.00149254
76,14103.1,1.76725,1.00681,1.33299,0.91961,0.74454,0.77954,0.3771,1.67884,0.99403,1.50625,0.00149018,0.00149018,0.00149018
77,14292.9,1.7133,1.00598,1.32006,0.94775,0.71246,0.78868,0.38288,1.74716,0.93014,1.58397,0.00148782,0.00148782,0.00148782
78,14482.1,1.7269,1.00392,1.30691,0.93475,0.67639,0.78018,0.38534,1.69743,1.21136,1.55874,0.00148546,0.00148546,0.00148546
79,14673.3,1.72948,0.98677,1.32179,0.89526,0.73016,0.77573,0.35292,1.87823,1.08925,1.63149,0.00148311,0.00148311,0.00148311
80,14850.7,1.7173,0.98211,1.30433,0.95797,0.73327,0.80044,0.3532,1.77342,0.99145,1.59702,0.00148075,0.00148075,0.00148075
81,15027.7,1.74311,1.01271,1.34147,0.9397,0.68252,0.75649,0.34223,1.96532,1.2471,1.84232,0.00147839,0.00147839,0.00147839
82,15206.1,1.7183,0.97654,1.30073,0.93964,0.72619,0.80062,0.38097,1.68861,0.98294,1.52118,0.00147603,0.00147603,0.00147603
83,15393.9,1.70783,0.97954,1.32975,0.95162,0.70288,0.77838,0.37253,1.88121,1.03969,1.70731,0.00147368,0.00147368,0.00147368
84,15581.6,1.70575,0.97728,1.31322,0.93614,0.70734,0.78181,0.35691,1.98266,1.37315,1.91109,0.00147132,0.00147132,0.00147132
85,15771.2,1.72875,0.98722,1.31407,0.87543,0.73958,0.80883,0.35977,1.6536,1.00411,1.52485,0.00146896,0.00146896,0.00146896
86,15959.1,1.74017,0.98336,1.32345,0.92619,0.7123,0.79019,0.37439,1.84398,1.05861,1.72397,0.0014666,0.0014666,0.0014666
87,16140.5,1.69035,0.96266,1.29905,0.89128,0.68208,0.72261,0.3237,1.85063,1.34739,1.72496,0.00146425,0.00146425,0.00146425
88,16323.1,1.68892,0.97457,1.32312,0.9073,0.66567,0.78749,0.37744,1.66761,1.06114,1.52645,0.00146189,0.00146189,0.00146189
89,16504,1.70102,0.94953,1.29104,0.89612,0.72678,0.77533,0.3831,1.75039,0.9997,1.5668,0.00145953,0.00145953,0.00145953
90,16684.8,1.70371,0.9468,1.26763,0.94161,0.73546,0.80226,0.37355,1.73777,0.96176,1.59364,0.00145717,0.00145717,0.00145717
91,16865.6,1.69989,0.972,1.32464,0.90036,0.77132,0.80121,0.36473,1.77758,0.99034,1.61753,0.00145481,0.00145481,0.00145481
92,17047.3,1.71277,0.98273,1.30188,0.95009,0.72839,0.78769,0.39998,1.59646,0.92862,1.49833,0.00145246,0.00145246,0.00145246
93,17228.5,1.67878,0.95947,1.31489,0.90374,0.71627,0.7697,0.37512,1.74243,1.1027,1.60629,0.0014501,0.0014501,0.0014501
94,17410.5,1.67342,0.95614,1.29169,0.86002,0.74011,0.78535,0.37318,1.7623,1.05105,1.63951,0.00144774,0.00144774,0.00144774
95,17592,1.70717,0.96642,1.2998,0.95384,0.73834,0.78891,0.37445,1.84105,0.9894,1.66122,0.00144538,0.00144538,0.00144538
96,17772.4,1.6546,0.92952,1.28252,0.91376,0.75744,0.80263,0.39871,1.75554,0.94872,1.59278,0.00144303,0.00144303,0.00144303
97,17953.5,1.65188,0.9396,1.27326,0.89922,0.7586,0.80044,0.39336,1.57417,0.85481,1.47258,0.00144067,0.00144067,0.00144067
98,18130.7,1.6579,0.9439,1.28151,0.89422,0.72615,0.76633,0.3892,1.62666,1.05896,1.5124,0.00143831,0.00143831,0.00143831
99,18307.1,1.65748,0.93413,1.263,0.92893,0.7282,0.79727,0.38928,1.56945,0.92578,1.48832,0.00143595,0.00143595,0.00143595
100,18486.5,1.67428,0.93129,1.27878,0.89868,0.7128,0.78414,0.37985,1.69993,1.07614,1.60583,0.0014336,0.0014336,0.0014336
101,18668.5,1.62398,0.92901,1.27772,0.91269,0.72632,0.79149,0.3962,1.68067,0.90274,1.5411,0.00143124,0.00143124,0.00143124
102,18853.9,1.6575,0.93011,1.28309,0.92682,0.70784,0.79884,0.39586,1.66664,1.01341,1.5177,0.00142888,0.00142888,0.00142888
103,19035.3,1.63174,0.90278,1.26159,0.87627,0.68899,0.74545,0.37689,1.5615,0.95666,1.43739,0.00142652,0.00142652,0.00142652
104,19215.9,1.65698,0.90678,1.25259,0.91048,0.74405,0.80602,0.37727,1.84478,0.89462,1.67004,0.00142417,0.00142417,0.00142417
105,19397.6,1.61678,0.90176,1.26592,0.93815,0.73065,0.79615,0.39073,1.74921,0.86678,1.55372,0.00142181,0.00142181,0.00142181
106,19581.5,1.63359,0.92814,1.26648,0.94568,0.72792,0.80778,0.39441,1.60469,0.94242,1.46909,0.00141945,0.00141945,0.00141945
107,19764.1,1.63196,0.91195,1.25279,0.91307,0.76003,0.80454,0.39415,1.80746,0.94752,1.65633,0.00141709,0.00141709,0.00141709
108,19944.5,1.64231,0.90797,1.26714,0.94884,0.70725,0.79134,0.37498,1.82595,1.041,1.62533,0.00141474,0.00141474,0.00141474
109,20123.4,1.6751,0.92268,1.28676,0.9366,0.72619,0.77645,0.365,1.7727,1.07322,1.77108,0.00141238,0.00141238,0.00141238
110,20302.3,1.62044,0.89843,1.23391,0.93815,0.71909,0.81007,0.40512,1.63689,0.89981,1.55029,0.00141002,0.00141002,0.00141002
111,20482.3,1.60932,0.90664,1.26188,0.95059,0.75648,0.80411,0.39302,1.65362,0.85811,1.50701,0.00140766,0.00140766,0.00140766
112,20660.7,1.62509,0.9112,1.27559,0.93301,0.76258,0.81349,0.41379,1.63516,0.84952,1.5206,0.0014053,0.0014053,0.0014053
113,20841,1.62883,0.91298,1.25173,0.9086,0.6977,0.76269,0.3671,1.64165,0.88718,1.50048,0.00140295,0.00140295,0.00140295
114,21021.5,1.61603,0.90057,1.2699,0.92317,0.7544,0.80297,0.39569,1.69352,0.85153,1.52478,0.00140059,0.00140059,0.00140059
115,21198.5,1.62178,0.90587,1.25411,0.92679,0.73462,0.79566,0.39542,1.53056,0.89977,1.43119,0.00139823,0.00139823,0.00139823
116,21378.7,1.60105,0.87544,1.24136,0.92527,0.74656,0.80186,0.38708,1.80973,0.95546,1.67746,0.00139587,0.00139587,0.00139587
117,21562.9,1.63067,0.88587,1.24724,0.896,0.73687,0.7714,0.38737,1.54644,0.97662,1.42424,0.00139352,0.00139352,0.00139352
118,21745.4,1.59286,0.89056,1.2294,0.94852,0.73481,0.82186,0.39368,1.50294,0.86512,1.4008,0.00139116,0.00139116,0.00139116
119,21927.3,1.57765,0.86487,1.22734,0.94254,0.7379,0.79742,0.39021,1.7154,0.96926,1.54478,0.0013888,0.0013888,0.0013888
120,22109.9,1.59543,0.87715,1.25107,0.92397,0.70288,0.76707,0.35888,1.7794,0.87821,1.5634,0.00138644,0.00138644,0.00138644
121,22291.1,1.62578,0.87454,1.25877,0.95799,0.71677,0.82323,0.39084,1.65236,0.91129,1.48057,0.00138409,0.00138409,0.00138409
122,22473.7,1.59463,0.8652,1.22923,0.95423,0.74767,0.79918,0.36772,1.78671,0.90615,1.60338,0.00138173,0.00138173,0.00138173
123,22655.5,1.58932,0.85523,1.22935,0.93087,0.75255,0.79699,0.3956,1.78029,1.03858,1.66085,0.00137937,0.00137937,0.00137937
124,22837.5,1.60384,0.86196,1.24944,0.94735,0.73856,0.80298,0.38778,1.73799,0.95497,1.5584,0.00137701,0.00137701,0.00137701
125,23019.1,1.59165,0.87586,1.24799,0.94864,0.6953,0.80662,0.38378,1.65694,0.94938,1.53427,0.00137466,0.00137466,0.00137466
126,23199.9,1.61041,0.88461,1.24891,0.94916,0.752,0.80297,0.4053,1.6189,0.9729,1.48873,0.0013723,0.0013723,0.0013723
127,23384.3,1.57571,0.85458,1.23671,0.94674,0.73264,0.7895,0.36017,1.79764,0.91765,1.67368,0.00136994,0.00136994,0.00136994
128,23565.5,1.59944,0.88055,1.22638,0.96199,0.71816,0.79461,0.38217,1.92764,0.91713,1.71461,0.00136758,0.00136758,0.00136758
129,23748.5,1.58926,0.88409,1.25231,0.94149,0.75485,0.79382,0.36408,1.65794,0.88191,1.50537,0.00136523,0.00136523,0.00136523
130,23928.7,1.59338,0.85442,1.22997,0.95187,0.69345,0.78501,0.40288,1.58622,0.9434,1.45943,0.00136287,0.00136287,0.00136287
131,24111.1,1.57312,0.85099,1.23131,0.94765,0.72049,0.79315,0.38259,1.71444,0.94525,1.59086,0.00136051,0.00136051,0.00136051
132,24298.5,1.54922,0.83924,1.21732,0.96718,0.7245,0.80779,0.40344,1.63308,0.81278,1.4544,0.00135815,0.00135815,0.00135815
133,24487.3,1.55506,0.86003,1.23252,0.96494,0.7066,0.7928,0.38529,1.83451,1.0091,1.64556,0.00135579,0.00135579,0.00135579
134,24676.1,1.57587,0.86409,1.24014,0.89231,0.68899,0.75881,0.38172,1.68107,0.91429,1.50642,0.00135344,0.00135344,0.00135344
135,24866.7,1.56401,0.83792,1.22959,0.95702,0.70414,0.78799,0.39432,1.65177,0.93074,1.48805,0.00135108,0.00135108,0.00135108
136,25056.1,1.55551,0.83796,1.23001,0.89871,0.67956,0.76193,0.36361,1.69029,0.89185,1.57172,0.00134872,0.00134872,0.00134872
137,25246.5,1.5367,0.84711,1.24221,0.92846,0.77004,0.81706,0.4034,1.66167,0.82728,1.55082,0.00134636,0.00134636,0.00134636
138,25435.3,1.55878,0.84359,1.23667,0.97263,0.73491,0.80759,0.40237,1.80133,0.84713,1.61632,0.00134401,0.00134401,0.00134401
139,25624.2,1.5449,0.8166,1.20504,0.85062,0.7624,0.79229,0.38583,1.76928,0.89971,1.59982,0.00134165,0.00134165,0.00134165
140,25811.7,1.54319,0.83605,1.22592,0.9404,0.70337,0.80225,0.39557,1.68843,0.85606,1.56725,0.00133929,0.00133929,0.00133929
141,26000,1.55056,0.83045,1.22002,0.96474,0.74725,0.80796,0.40115,1.67244,0.87634,1.53426,0.00133693,0.00133693,0.00133693
142,26188.8,1.51239,0.82286,1.21515,0.90479,0.74524,0.7989,0.41278,1.63386,0.8742,1.47126,0.00133458,0.00133458,0.00133458
143,26378,1.53906,0.81484,1.19692,0.90789,0.75943,0.8224,0.40626,1.74353,0.8429,1.58652,0.00133222,0.00133222,0.00133222
144,26566.6,1.54178,0.84927,1.21512,0.9199,0.73943,0.79256,0.38513,1.60682,0.95159,1.4877,0.00132986,0.00132986,0.00132986
145,26756.9,1.51296,0.80791,1.19972,0.88963,0.75298,0.82052,0.40669,1.68213,0.85896,1.51904,0.0013275,0.0013275,0.0013275
146,26949.3,1.51828,0.809,1.1909,0.93108,0.74051,0.80711,0.41096,1.67933,0.84537,1.52994,0.00132515,0.00132515,0.00132515
147,27139,1.51966,0.829,1.20456,0.92139,0.75298,0.81474,0.40812,1.57505,0.84596,1.45283,0.00132279,0.00132279,0.00132279
148,27328.1,1.53679,0.83832,1.2461,0.93618,0.74088,0.81489,0.42196,1.68069,0.95214,1.56022,0.00132043,0.00132043,0.00132043
149,27518.4,1.50752,0.82058,1.21684,0.95096,0.729,0.79867,0.39535,1.71521,0.81876,1.5544,0.00131807,0.00131807,0.00131807
150,27708.8,1.56122,0.81658,1.22374,0.93557,0.75347,0.79792,0.40256,1.66807,0.93606,1.55246,0.00131572,0.00131572,0.00131572
151,27897.1,1.50177,0.80062,1.1838,0.87055,0.75794,0.8004,0.40462,1.57421,0.8883,1.46201,0.00131336,0.00131336,0.00131336
152,28084.3,1.52177,0.81153,1.21949,0.92082,0.75794,0.80422,0.39289,1.67633,0.84438,1.58224,0.001311,0.001311,0.001311
153,28272.1,1.52573,0.80069,1.20386,0.96952,0.73958,0.8088,0.41978,1.62746,0.84393,1.50838,0.00130864,0.00130864,0.00130864
154,28459.5,1.4913,0.79793,1.18446,0.92423,0.74367,0.80484,0.39838,1.72359,0.88103,1.62662,0.00130629,0.00130629,0.00130629
155,28646.8,1.53493,0.82317,1.19712,0.94318,0.73601,0.79888,0.40003,1.63527,0.84529,1.52448,0.00130393,0.00130393,0.00130393
156,28835.9,1.50623,0.8021,1.18244,0.95202,0.73675,0.81176,0.41551,1.63262,0.87481,1.47837,0.00130157,0.00130157,0.00130157
157,29024.8,1.52361,0.82382,1.20281,0.93286,0.74454,0.80385,0.40508,1.73112,0.90775,1.56708,0.00129921,0.00129921,0.00129921
158,29214,1.49206,0.82307,1.21337,0.93948,0.74454,0.81675,0.41869,1.60568,0.84351,1.48839,0.00129685,0.00129685,0.00129685
159,29402.5,1.49664,0.79716,1.19245,0.93524,0.74999,0.81971,0.40599,1.712,0.89794,1.59548,0.0012945,0.0012945,0.0012945
160,29591.4,1.48878,0.79679,1.18996,0.94114,0.77197,0.81031,0.40375,1.67618,0.86418,1.60032,0.00129214,0.00129214,0.00129214
161,29777.6,1.5093,0.7981,1.18224,0.94563,0.73016,0.80665,0.42527,1.60202,0.83591,1.54055,0.00128978,0.00128978,0.00128978
162,29960.6,1.51915,0.8009,1.20062,0.95065,0.74684,0.80576,0.40463,1.60429,0.80574,1.47472,0.00128742,0.00128742,0.00128742
163,30139,1.49649,0.79387,1.19826,0.96941,0.72569,0.80443,0.4109,1.69795,0.83412,1.57946,0.00128507,0.00128507,0.00128507
164,30317.7,1.48979,0.78831,1.18072,0.89052,0.71224,0.79247,0.41454,1.52782,0.78541,1.42526,0.00128271,0.00128271,0.00128271
165,30494.9,1.50818,0.80382,1.19511,0.91596,0.74692,0.81344,0.41628,1.72264,0.791,1.5857,0.00128035,0.00128035,0.00128035
166,30673.3,1.46881,0.78346,1.17859,0.98423,0.75709,0.81513,0.40527,1.71219,0.8091,1.55006,0.00127799,0.00127799,0.00127799
167,30850.2,1.47896,0.7917,1.19518,0.91309,0.74799,0.80626,0.40959,1.58846,0.85148,1.44349,0.00127564,0.00127564,0.00127564
168,31029.3,1.49496,0.80334,1.19945,0.87946,0.73065,0.78756,0.40577,1.53405,0.828,1.44617,0.00127328,0.00127328,0.00127328
169,31205,1.47769,0.79432,1.17832,0.93754,0.75377,0.80523,0.40502,1.68375,0.81016,1.54555,0.00127092,0.00127092,0.00127092
170,31383.5,1.46772,0.7723,1.18059,0.97097,0.7624,0.82502,0.43623,1.60229,0.7642,1.45681,0.00126856,0.00126856,0.00126856
171,31561.8,1.49154,0.80649,1.21893,0.96319,0.72123,0.80124,0.40371,1.65508,0.8846,1.52288,0.00126621,0.00126621,0.00126621
172,31740.6,1.51866,0.80646,1.18899,0.92119,0.75347,0.78714,0.39168,1.67694,0.86317,1.52985,0.00126385,0.00126385,0.00126385
173,31919.2,1.46486,0.80212,1.19788,0.93338,0.7624,0.7907,0.38632,1.64122,0.79739,1.47545,0.00126149,0.00126149,0.00126149
174,32100,1.4557,0.78072,1.16392,0.91248,0.75794,0.7867,0.4041,1.54861,0.84039,1.41815,0.00125913,0.00125913,0.00125913
175,32282.7,1.45947,0.79531,1.18889,0.93632,0.75656,0.79329,0.41356,1.55492,0.83443,1.4749,0.00125678,0.00125678,0.00125678
176,32467.5,1.48527,0.79432,1.18258,0.94873,0.76687,0.81486,0.42881,1.50413,0.80048,1.44977,0.00125442,0.00125442,0.00125442
177,32651.8,1.45535,0.76791,1.16784,0.94951,0.7568,0.80635,0.40229,1.69534,0.79942,1.51932,0.00125206,0.00125206,0.00125206
178,32836.2,1.46314,0.76053,1.18146,0.98386,0.73247,0.8093,0.40352,1.6199,0.83356,1.47489,0.0012497,0.0012497,0.0012497
179,33018.5,1.44863,0.76716,1.16964,0.93507,0.75347,0.80903,0.40526,1.65247,0.80316,1.4882,0.00124734,0.00124734,0.00124734
180,33204,1.47146,0.76259,1.16797,0.95608,0.74805,0.8209,0.41524,1.59365,0.83019,1.44925,0.00124499,0.00124499,0.00124499
181,33387.8,1.48314,0.79473,1.18688,0.89142,0.73109,0.78945,0.4085,1.56777,0.84744,1.44359,0.00124263,0.00124263,0.00124263
182,33568.9,1.47199,0.77394,1.17873,0.90789,0.74405,0.79754,0.42559,1.56795,0.78631,1.45545,0.00124027,0.00124027,0.00124027
183,33751.6,1.43712,0.75889,1.14904,0.89583,0.74375,0.80401,0.40939,1.60009,0.78599,1.49189,0.00123791,0.00123791,0.00123791
184,33933.1,1.44888,0.77011,1.18321,0.94321,0.72619,0.78809,0.39832,1.62107,0.79812,1.45055,0.00123556,0.00123556,0.00123556
