epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.331,3.5072,4.04406,4.18203,0.00391,0.24219,0.00856,0.00106,3.93434,4.81877,4.18965,0.000406504,0.000406504,0.000406504
2,326.921,2.70376,3.09755,3.51075,0.00432,0.13281,0.00429,0.00067,4.16693,4.56548,4.29675,0.000820454,0.000820454,0.000820454
3,485.553,2.49947,2.56701,2.98633,0.00483,0.28804,0.03511,0.00976,3.88785,4.04285,3.90844,0.00123165,0.00123165,0.00123165
4,645.615,2.28841,2.13139,2.71059,0.87257,0.25,0.20697,0.12931,2.2635,4.61008,3.0297,0.00123763,0.00123763,0.00123763
5,805.914,2.12996,1.91989,2.46153,0.71863,0.13043,0.20123,0.08881,2.32519,2.74976,2.93042,0.0012335,0.0012335,0.0012335
6,967.46,1.96387,1.80891,2.26546,0.91543,0.5,0.51381,0.23084,2.11981,2.15352,2.49523,0.00122937,0.00122937,0.00122937
7,1128.33,1.8126,1.58055,2.0803,0.27617,0.36484,0.37928,0.22352,2.01378,2.63212,2.29278,0.00122525,0.00122525,0.00122525
8,1288.61,1.67087,1.47699,1.92109,0.89176,0.55978,0.58554,0.35549,1.69064,1.93297,2.04319,0.00122112,0.00122112,0.00122112
9,1448.29,1.59564,1.3696,1.81331,0.84446,0.60229,0.63054,0.35925,1.76296,1.96159,2.00857,0.001217,0.001217,0.001217
10,1610.9,1.42643,1.20324,1.65618,0.76681,0.64026,0.66353,0.37854,1.86169,1.79016,2.07044,0.00121287,0.00121287,0.00121287
11,1773.42,1.41301,1.19762,1.62082,0.76208,0.61328,0.69819,0.41411,1.89011,1.92701,2.10112,0.00120875,0.00120875,0.00120875
12,1936.02,1.36662,1.10305,1.55648,0.79763,0.6564,0.6789,0.43351,1.6882,1.8175,2.02953,0.00120462,0.00120462,0.00120462
13,2100.65,1.36527,1.08659,1.5386,0.91218,0.67031,0.71691,0.46108,1.61847,1.85512,1.96912,0.0012005,0.0012005,0.0012005
14,2261.32,1.30225,1.04273,1.4874,0.80049,0.68418,0.71626,0.42689,1.56634,1.61083,1.89107,0.00119637,0.00119637,0.00119637
15,2424.62,1.24998,0.99611,1.442,0.81396,0.714,0.73264,0.44151,1.47721,1.60402,1.91597,0.00119225,0.00119225,0.00119225
16,2587.54,1.23435,0.96186,1.42029,0.79124,0.72675,0.76927,0.46583,1.63421,1.44341,1.87875,0.00118812,0.00118812,0.00118812
17,2752.85,1.22487,0.97564,1.40247,0.8116,0.71983,0.75708,0.45636,1.53172,1.66529,1.78647,0.001184,0.001184,0.001184
18,2914.19,1.20274,0.93389,1.36124,0.8495,0.72073,0.76834,0.47613,1.61346,1.63643,1.88274,0.00117988,0.00117988,0.00117988
19,3076.39,1.17754,0.91659,1.36826,0.76184,0.71767,0.7231,0.4827,1.39182,1.66738,1.7634,0.00117575,0.00117575,0.00117575
20,3238.64,1.16729,0.90744,1.34309,0.82159,0.74366,0.79872,0.48176,1.47753,1.45094,1.78268,0.00117163,0.00117163,0.00117163
21,3400.38,1.16499,0.90888,1.34766,0.80285,0.77254,0.7876,0.48636,1.48616,1.46989,1.8476,0.0011675,0.0011675,0.0011675
22,3564.51,1.14969,0.86423,1.31231,0.79408,0.73762,0.76928,0.44451,1.60039,1.49469,1.8932,0.00116337,0.00116337,0.00116337
23,3727.61,1.1256,0.84191,1.3022,0.86137,0.70005,0.75806,0.46976,1.51564,1.33453,1.82985,0.00115925,0.00115925,0.00115925
24,3890.78,1.11485,0.82893,1.3002,0.87977,0.74457,0.81323,0.50329,1.36223,1.44582,1.68157,0.00115513,0.00115513,0.00115513
25,4055.14,1.12333,0.82863,1.28441,0.8926,0.75288,0.81639,0.48488,1.49708,1.23659,1.83777,0.001151,0.001151,0.001151
26,4218.55,1.1185,0.81757,1.28733,0.83918,0.80435,0.81233,0.51784,1.38695,1.27649,1.71958,0.00114688,0.00114688,0.00114688
27,4381.66,1.08382,0.79219,1.27542,0.86883,0.74867,0.79011,0.50046,1.51765,1.34419,1.8219,0.00114275,0.00114275,0.00114275
28,4547.35,1.06084,0.7701,1.24741,0.83261,0.77627,0.80228,0.49098,1.36504,1.39861,1.72075,0.00113863,0.00113863,0.00113863
29,4710.9,1.05969,0.7869,1.26483,0.84441,0.77325,0.7769,0.45484,1.57722,1.45631,1.80255,0.0011345,0.0011345,0.0011345
30,4873.61,1.05919,0.77521,1.24416,0.85813,0.78261,0.83453,0.52414,1.40393,1.21322,1.70119,0.00113038,0.00113038,0.00113038
31,5036.37,1.05159,0.7417,1.23118,0.86011,0.79112,0.80206,0.52142,1.39613,1.29875,1.77787,0.00112625,0.00112625,0.00112625
32,5199.71,1.012,0.70863,1.20061,0.8539,0.80738,0.84625,0.5065,1.31764,1.16796,1.67805,0.00112213,0.00112213,0.00112213
