                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.95235,                0.67841,                 1.1728,                0.91944,                0.84353,                0.90171,                0.57007,                 1.2004,                0.66934,                 1.5748,             0.00075602,             0.00075602,             0.00075602
                     36,                0.94307,                0.67862,                 1.1712,                0.91071,                0.86761,                0.90225,                0.57019,                 1.3038,                0.69991,                 1.6955,             0.00075152,             0.00075152,             0.00075152
                     37,                0.96195,                0.68071,                 1.1778,                0.88631,                0.86446,                0.89559,                0.56454,                 1.2388,                0.68539,                 1.5629,             0.00074702,             0.00074702,             0.00074702
                     38,                0.94608,                0.66703,                 1.1669,                0.89754,                0.88366,                0.89092,                0.56783,                 1.2384,                0.63722,                 1.6252,             0.00074252,             0.00074252,             0.00074252
                     39,                0.93559,                0.65745,                 1.1647,                0.94469,                0.85249,                0.89864,                0.57583,                 1.2805,                0.68203,                 1.6474,             0.00073802,             0.00073802,             0.00073802
                     40,                0.92819,                0.66338,                 1.1677,                0.94572,                0.84541,                0.90829,                 0.5745,                 1.2047,                0.64536,                 1.5769,             0.00073352,             0.00073352,             0.00073352
                     41,                0.93806,                0.65095,                 1.1626,                0.92236,                 0.8708,                0.89577,                0.56907,                 1.2411,                0.65424,                 1.5504,             0.00072902,             0.00072902,             0.00072902
                     42,                0.92679,                0.63844,                 1.1619,                 0.8989,                0.85957,                0.88644,                0.56092,                  1.284,                0.70761,                 1.6059,             0.00072452,             0.00072452,             0.00072452
                     43,                0.92242,                0.65028,                 1.1546,                 0.9583,                0.88219,                0.90765,                0.58326,                  1.183,                0.62921,                 1.5165,             0.00072002,             0.00072002,             0.00072002
                     44,                0.92303,                0.64212,                 1.1437,                0.87734,                0.87426,                0.88636,                0.57787,                 1.1623,                 0.6264,                 1.5171,             0.00071552,             0.00071552,             0.00071552
                     45,                 0.9208,                0.63674,                 1.1642,                0.94075,                0.84577,                0.88392,                0.56623,                 1.2292,                 0.6722,                 1.5875,             0.00071102,             0.00071102,             0.00071102
                     46,                0.93402,                0.64563,                 1.1619,                0.87778,                0.87333,                0.89317,                0.57486,                 1.2211,                0.66696,                 1.5551,             0.00070652,             0.00070652,             0.00070652
                     47,                 0.9109,                0.62699,                 1.1456,                0.95948,                0.87861,                0.91525,                0.56032,                 1.2863,                0.68546,                 1.6298,             0.00070202,             0.00070202,             0.00070202
                     48,                0.92347,                  0.632,                 1.1557,                0.91466,                0.85664,                0.89846,                0.58345,                 1.1835,                0.61633,                 1.5245,             0.00069752,             0.00069752,             0.00069752
                     49,                0.90195,                0.63508,                 1.1515,                0.89111,                0.89222,                0.89951,                0.57783,                 1.2489,                0.63413,                 1.6103,             0.00069302,             0.00069302,             0.00069302
                     50,                0.90558,                0.63201,                 1.1459,                0.94156,                0.87141,                 0.8966,                0.57331,                 1.2491,                 0.6564,                 1.6277,             0.00068852,             0.00068852,             0.00068852
                     51,                 0.8943,                0.61616,                 1.1353,                0.90504,                0.88393,                 0.8974,                0.56393,                  1.268,                0.65287,                 1.5946,             0.00068402,             0.00068402,             0.00068402
                     52,                0.91727,                 0.6342,                 1.1556,                0.92894,                0.87954,                0.90912,                0.57426,                 1.2053,                0.66393,                 1.5276,             0.00067952,             0.00067952,             0.00067952
                     53,                0.91943,                  0.624,                 1.1458,                0.91667,                0.86678,                0.89904,                0.57475,                  1.245,                0.63482,                 1.5791,             0.00067502,             0.00067502,             0.00067502
                     54,                0.89953,                0.61214,                 1.1417,                0.92493,                0.89807,                 0.9086,                0.58014,                 1.2111,                0.62615,                 1.6103,             0.00067052,             0.00067052,             0.00067052
