                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.88937,                0.51766,                 1.0438,                0.89738,                0.84689,                0.86377,                0.52204,                 1.5745,                0.76023,                 1.8399,              0.0008317,              0.0008317,              0.0008317
                     36,                 0.9115,                0.52839,                 1.0505,                0.88496,                0.86753,                0.88964,                0.56284,                 1.4448,                0.77086,                 1.6904,             0.00082675,             0.00082675,             0.00082675
                     37,                0.89991,                0.51596,                 1.0534,                0.91013,                0.85666,                0.88008,                0.54409,                 1.6038,                0.78777,                 1.8033,              0.0008218,              0.0008218,              0.0008218
                     38,                0.87755,                 0.5123,                 1.0391,                0.86863,                0.86451,                0.87305,                0.52883,                 1.4543,                0.79014,                 1.6774,             0.00081685,             0.00081685,             0.00081685
                     39,                 0.8886,                0.52226,                 1.0399,                0.91861,                 0.8507,                0.87963,                0.53733,                 1.5762,                0.69798,                 1.8613,              0.0008119,              0.0008119,              0.0008119
                     40,                 0.8898,                0.51525,                   1.03,                0.92451,                0.87241,                0.90153,                0.55576,                 1.3831,                0.66954,                 1.6526,             0.00080695,             0.00080695,             0.00080695
                     41,                0.88905,                0.52925,                  1.048,                0.92108,                0.86217,                0.89094,                0.54856,                 1.5702,                0.79553,                 1.7583,               0.000802,               0.000802,               0.000802
                     42,                0.88157,                0.51385,                 1.0433,                0.90199,                0.85256,                0.86817,                0.51994,                 1.6141,                0.81287,                  1.907,             0.00079705,             0.00079705,             0.00079705
                     43,                 0.8919,                0.52115,                 1.0536,                0.91049,                0.88101,                0.88496,                0.57408,                 1.4116,                0.70585,                 1.6463,              0.0007921,              0.0007921,              0.0007921
                     44,                0.87516,                0.50359,                 1.0302,                0.85748,                0.84758,                0.85621,                0.50818,                 1.6303,                0.85046,                 1.8713,             0.00078715,             0.00078715,             0.00078715
                     45,                0.89927,                0.51933,                 1.0387,                0.93791,                0.86557,                0.90094,                0.56899,                 1.4249,                0.72896,                 1.6326,              0.0007822,              0.0007822,              0.0007822
                     46,                0.86858,                0.50401,                 1.0291,                0.91133,                 0.8563,                0.87618,                0.56251,                 1.3861,                 0.6781,                 1.6215,             0.00077725,             0.00077725,             0.00077725
                     47,                0.86064,                0.51256,                 1.0405,                0.94526,                0.86153,                0.88672,                0.56667,                 1.3646,                0.69463,                 1.6092,              0.0007723,              0.0007723,              0.0007723
                     48,                0.86579,                0.50621,                 1.0311,                0.91177,                0.84499,                0.88511,                0.53866,                 1.6247,                0.83887,                 1.8682,             0.00076735,             0.00076735,             0.00076735
                     49,                0.88618,                0.52321,                 1.0469,                0.89735,                0.83751,                0.87022,                0.55498,                   1.39,                0.67801,                 1.6867,              0.0007624,              0.0007624,              0.0007624
                     50,                0.86331,                0.50069,                  1.021,                0.93462,                  0.889,                0.90525,                0.56882,                 1.4208,                0.68144,                 1.7222,             0.00075745,             0.00075745,             0.00075745
                     51,                0.85025,                0.48869,                  1.029,                0.92302,                0.87592,                0.89218,                0.54878,                 1.3852,                0.66068,                 1.6742,              0.0007525,              0.0007525,              0.0007525
                     52,                0.84997,                0.48503,                 1.0243,                0.92124,                0.85928,                0.89738,                  0.562,                 1.4169,                0.72544,                 1.6258,             0.00074755,             0.00074755,             0.00074755
                     53,                0.86648,                0.50671,                 1.0368,                0.91554,                0.88246,                0.89553,                0.55577,                 1.4189,                0.69949,                 1.7081,              0.0007426,              0.0007426,              0.0007426
                     54,                0.88233,                0.50885,                  1.028,                 0.9256,                0.87094,                0.89773,                0.55947,                 1.4198,                 0.6931,                 1.6356,             0.00073765,             0.00073765,             0.00073765
                     55,                0.87692,                0.50031,                 1.0343,                0.91529,                0.87214,                0.89345,                0.56456,                 1.3383,                0.74489,                 1.6668,              0.0007327,              0.0007327,              0.0007327
                     56,                0.85153,                0.48958,                 1.0206,                0.92144,                0.85697,                0.88702,                 0.5517,                 1.5415,                0.73543,                 1.8115,             0.00072775,             0.00072775,             0.00072775
                     57,                0.86513,                 0.4943,                 1.0374,                0.91024,                0.86208,                0.89244,                0.56427,                 1.3666,                0.63419,                 1.6405,              0.0007228,              0.0007228,              0.0007228
                     58,                0.85605,                0.49362,                  1.021,                 0.8812,                0.88485,                0.89215,                0.55845,                 1.4238,                0.67571,                 1.7904,             0.00071785,             0.00071785,             0.00071785
                     59,                0.85553,                  0.494,                  1.018,                0.91187,                0.87783,                 0.8899,                0.55132,                 1.4662,                0.70053,                 1.6906,              0.0007129,              0.0007129,              0.0007129
                     60,                0.83824,                0.48616,                 1.0138,                0.91428,                0.88555,                0.89234,                0.57815,                 1.3586,                 0.6396,                 1.6099,             0.00070795,             0.00070795,             0.00070795
                     61,                0.84341,                 0.4975,                 1.0192,                 0.9385,                0.86906,                0.89193,                0.56854,                 1.3354,                0.65258,                 1.6354,               0.000703,               0.000703,               0.000703
                     62,                0.85364,                0.48238,                 1.0219,                0.92416,                0.87993,                0.90648,                0.56727,                 1.4714,                0.67555,                 1.7644,             0.00069805,             0.00069805,             0.00069805
                     63,                0.85889,                0.49569,                 1.0255,                0.91314,                0.87993,                0.89228,                0.55887,                 1.4327,                0.68403,                 1.7802,              0.0006931,              0.0006931,              0.0006931
                     64,                0.85416,                0.49546,                 1.0239,                0.93637,                0.87284,                0.90285,                0.56518,                 1.4417,                0.74245,                 1.7118,             0.00068815,             0.00068815,             0.00068815
                     65,                0.84832,                0.48708,                 1.0146,                0.91093,                 0.8815,                0.90015,                0.55807,                 1.5362,                0.70622,                 1.7833,              0.0006832,              0.0006832,              0.0006832
                     66,                0.85497,                0.47993,                  1.023,                0.90775,                0.87776,                0.89175,                0.56104,                 1.4365,                0.66179,                 1.7519,             0.00067825,             0.00067825,             0.00067825
                     67,                0.87098,                0.50115,                 1.0203,                0.90313,                0.84656,                0.87333,                0.53578,                 1.6086,                0.75009,                  1.923,              0.0006733,              0.0006733,              0.0006733
                     68,                0.83856,                 0.4759,                 1.0059,                0.94152,                0.84942,                0.89136,                0.56631,                 1.3511,                0.68119,                 1.5934,             0.00066835,             0.00066835,             0.00066835
                     69,                 0.8335,                0.47905,                 1.0196,                0.92297,                0.87581,                0.89466,                0.56499,                 1.3202,                0.65686,                 1.6222,              0.0006634,              0.0006634,              0.0006634
                     70,                0.83603,                0.47672,                 1.0125,                0.93536,                0.87006,                0.89928,                0.55259,                 1.5094,                0.75476,                 1.8075,             0.00065845,             0.00065845,             0.00065845
                     71,                0.84798,                0.48934,                 1.0133,                0.91733,                0.85244,                0.89137,                0.55127,                 1.4481,                0.73705,                 1.7203,              0.0006535,              0.0006535,              0.0006535
                     72,                0.83497,                0.47575,                 1.0113,                0.91641,                0.85767,                0.88443,                0.56184,                 1.4525,                0.72722,                 1.7152,             0.00064855,             0.00064855,             0.00064855
                     73,                0.84037,                0.47715,                 1.0166,                0.92669,                0.87696,                0.90298,                0.56985,                 1.4058,                0.76271,                 1.6408,              0.0006436,              0.0006436,              0.0006436
                     74,                0.84574,                 0.4835,                 1.0268,                0.93225,                0.85883,                0.88886,                0.56251,                 1.5014,                0.77961,                 1.7621,             0.00063865,             0.00063865,             0.00063865
                     75,                0.81773,                0.48035,                 1.0072,                0.94801,                 0.8715,                0.90242,                0.55434,                 1.5058,                0.76046,                 1.7886,              0.0006337,              0.0006337,              0.0006337
                     76,                 0.8598,                0.49204,                 1.0151,                0.93604,                 0.8887,                0.90716,                0.56586,                 1.4042,                0.70211,                 1.6272,             0.00062875,             0.00062875,             0.00062875
                     77,                0.85213,                0.48251,                 1.0219,                0.93566,                 0.8808,                 0.8998,                0.57099,                 1.4662,                0.66643,                 1.7589,              0.0006238,              0.0006238,              0.0006238
                     78,                0.83464,                0.47526,                 1.0116,                0.87864,                0.87588,                0.88247,                0.56436,                  1.447,                0.76916,                 1.7452,             0.00061885,             0.00061885,             0.00061885
                     79,                 0.8243,                0.47576,                 1.0069,                0.91585,                0.88241,                0.89392,                 0.5476,                  1.542,                0.75745,                 1.7724,              0.0006139,              0.0006139,              0.0006139
                     80,                0.84118,                0.48374,                 1.0193,                0.92382,                 0.8803,                0.89521,                0.55566,                 1.5213,                0.77896,                 1.8313,             0.00060895,             0.00060895,             0.00060895
                     81,                0.84037,                0.47329,                 1.0159,                 0.9396,                0.88575,                0.90242,                0.56303,                 1.4797,                0.69103,                 1.7435,               0.000604,               0.000604,               0.000604
                     82,                0.82737,                0.46917,                  1.008,                0.91941,                0.87709,                0.89083,                0.55295,                 1.4791,                0.70897,                 1.7705,             0.00059905,             0.00059905,             0.00059905
                     83,                0.82966,                0.46746,                 1.0126,                0.93339,                 0.8953,                0.90622,                 0.5546,                 1.5898,                0.65816,                 1.8504,              0.0005941,              0.0005941,              0.0005941
                     84,                0.81078,                0.45702,                 1.0048,                0.93392,                0.86399,                   0.89,                0.55164,                 1.5175,                0.64846,                 1.8034,             0.00058915,             0.00058915,             0.00058915
                     85,                0.85065,                0.48679,                 1.0257,                0.89303,                0.84405,                0.88007,                0.53779,                 1.4902,                0.69363,                 1.7507,              0.0005842,              0.0005842,              0.0005842
                     86,                0.81901,                0.45759,                 1.0011,                0.93468,                0.84889,                 0.8803,                0.55632,                 1.4932,                 0.7194,                 1.7604,             0.00057925,             0.00057925,             0.00057925
                     87,                0.81832,                0.46177,                 1.0089,                0.92092,                0.86081,                0.89312,                0.53519,                 1.5844,                0.72978,                 1.8613,              0.0005743,              0.0005743,              0.0005743
                     88,                0.81777,                0.46281,                 1.0083,                0.92143,                0.85716,                0.88757,                0.55731,                 1.4608,                0.73416,                 1.8248,             0.00056935,             0.00056935,             0.00056935
                     89,                0.83084,                0.47483,                 1.0212,                0.92735,                0.86126,                0.88944,                0.55275,                 1.4981,                0.69926,                 1.8253,              0.0005644,              0.0005644,              0.0005644
                     90,                0.81606,                0.46341,                 1.0103,                 0.9317,                0.88516,                0.90253,                0.56115,                  1.426,                0.64527,                 1.7769,             0.00055945,             0.00055945,             0.00055945
                     91,                 0.8354,                0.47242,                 1.0192,                0.90263,                0.87698,                0.88171,                0.56371,                 1.4014,                0.69851,                 1.8004,              0.0005545,              0.0005545,              0.0005545
                     92,                0.81703,                0.45825,                 1.0055,                0.93029,                0.84971,                0.89568,                0.56406,                 1.4688,                0.68481,                 1.8639,             0.00054955,             0.00054955,             0.00054955
                     93,                0.82137,                0.46619,                 1.0067,                0.91476,                0.86226,                0.90178,                0.55635,                 1.4179,                0.67156,                 1.7262,              0.0005446,              0.0005446,              0.0005446
                     94,                0.82757,                0.47508,                 1.0141,                0.93377,                0.86957,                0.90639,                0.57767,                  1.414,                0.64686,                   1.74,             0.00053965,             0.00053965,             0.00053965
                     95,                0.82436,                0.45901,                0.99973,                0.92825,                0.85845,                0.88665,                0.56958,                 1.4583,                0.77934,                 1.7109,              0.0005347,              0.0005347,              0.0005347
                     96,                0.81231,                0.45388,                 1.0018,                0.93912,                 0.8876,                0.90434,                0.57269,                 1.4633,                0.67193,                 1.7539,             0.00052975,             0.00052975,             0.00052975
                     97,                0.80838,                0.45474,                0.99536,                0.93949,                0.86761,                0.89656,                0.57155,                 1.3716,                0.66686,                 1.7026,              0.0005248,              0.0005248,              0.0005248
                     98,                0.81204,                0.46272,                0.99611,                 0.9481,                0.85051,                0.89699,                0.55956,                 1.4805,                0.68352,                 1.7316,             0.00051985,             0.00051985,             0.00051985
