epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.835,0.69126,0.37536,0.98209,0.93903,0.89669,0.90513,0.60899,1.29003,0.60533,1.70867,0.000406504,0.000406504,0.000406504
2,348.732,0.72246,0.39602,0.98945,0.93794,0.89918,0.91064,0.59499,1.336,0.63712,1.68985,0.000820842,0.000820842,0.000820842
3,520.944,0.78917,0.43986,1.01917,0.94874,0.88013,0.9105,0.58363,1.36036,0.7116,1.6792,0.00123282,0.00123282,0.00123282
4,694.452,0.80154,0.45453,1.02054,0.95481,0.89493,0.9054,0.58608,1.39004,0.61453,1.75948,0.00123939,0.00123939,0.00123939
5,864.405,0.79867,0.46416,1.03212,0.93702,0.88666,0.88478,0.58665,1.51813,0.87744,1.94319,0.00123586,0.00123586,0.00123586
6,1030.75,0.8046,0.47157,1.03701,0.93781,0.86232,0.88086,0.58579,1.42625,0.69702,1.73236,0.00123232,0.00123232,0.00123232
7,1198.38,0.7693,0.44587,1.01301,0.86458,0.891,0.8796,0.59,1.29602,0.73493,1.63705,0.00122879,0.00122879,0.00122879
8,1362.63,0.79517,0.45456,1.01728,0.92847,0.88182,0.88962,0.59576,1.34231,0.87154,1.65312,0.00122525,0.00122525,0.00122525
9,1528.64,0.81086,0.46295,1.03381,0.93103,0.88634,0.89422,0.57019,1.3666,0.72276,1.67035,0.00122171,0.00122171,0.00122171
10,1694.98,0.78726,0.4455,1.01727,0.93664,0.88175,0.88903,0.56819,1.40437,0.73827,1.68047,0.00121818,0.00121818,0.00121818
11,1860.33,0.79513,0.46121,1.03087,0.88459,0.88906,0.8907,0.57939,1.57227,0.86133,1.91619,0.00121464,0.00121464,0.00121464
12,2025.1,0.78451,0.44501,1.02044,0.90374,0.90652,0.88734,0.5768,1.29131,0.8333,1.64099,0.00121111,0.00121111,0.00121111
13,2189.82,0.80434,0.45682,1.03391,0.93806,0.8916,0.89185,0.58276,1.38909,0.67157,1.75482,0.00120757,0.00120757,0.00120757
14,2377.41,0.78634,0.45496,1.0234,0.93609,0.89256,0.89449,0.59829,1.27649,0.7853,1.64107,0.00120404,0.00120404,0.00120404
15,2562.5,0.79511,0.45501,1.03073,0.92635,0.88768,0.89302,0.57416,1.43685,0.72892,1.83861,0.0012005,0.0012005,0.0012005
16,2747.99,0.80194,0.4553,1.03232,0.95474,0.88949,0.90566,0.59337,1.4189,0.67991,1.76946,0.00119696,0.00119696,0.00119696
17,2932.29,0.80844,0.46616,1.03802,0.88775,0.88681,0.89356,0.5958,1.32274,0.76896,1.68377,0.00119343,0.00119343,0.00119343
18,3117.52,0.80689,0.45664,1.024,0.93861,0.891,0.89365,0.60565,1.27657,0.75988,1.60832,0.00118989,0.00118989,0.00118989
19,3302.6,0.80923,0.46332,1.02969,0.92207,0.89452,0.88708,0.57446,1.54722,0.733,1.97247,0.00118636,0.00118636,0.00118636
20,3488.31,0.80206,0.45147,1.02514,0.93153,0.89251,0.90484,0.59113,1.36441,0.71026,1.6653,0.00118282,0.00118282,0.00118282
21,3674.89,0.81009,0.46605,1.03246,0.91218,0.90036,0.91119,0.58956,1.40729,0.75334,1.70119,0.00117929,0.00117929,0.00117929
22,3861.53,0.80549,0.4658,1.02622,0.95425,0.89565,0.90093,0.5822,1.45159,0.85397,1.78493,0.00117575,0.00117575,0.00117575
23,4047.85,0.78369,0.44268,1.02258,0.95164,0.88557,0.88849,0.58487,1.36198,0.73214,1.68451,0.00117221,0.00117221,0.00117221
24,4233.14,0.77527,0.44034,1.01179,0.91395,0.89033,0.8894,0.59782,1.32067,0.6357,1.64477,0.00116868,0.00116868,0.00116868
25,4419.81,0.78136,0.44846,1.01428,0.88155,0.89117,0.88711,0.56047,1.56383,0.83212,1.91053,0.00116514,0.00116514,0.00116514
26,4605.89,0.80505,0.45782,1.02496,0.91663,0.86866,0.88267,0.59632,1.21217,0.72237,1.51241,0.00116161,0.00116161,0.00116161
27,4789.9,0.7881,0.44841,1.02982,0.9229,0.891,0.89164,0.59772,1.41128,0.74192,1.72102,0.00115807,0.00115807,0.00115807
28,4974.22,0.80052,0.45209,1.02546,0.92724,0.87814,0.88618,0.57304,1.30733,0.72448,1.619,0.00115454,0.00115454,0.00115454
29,5161.32,0.78046,0.44063,1.02175,0.95489,0.88554,0.89974,0.59317,1.25924,0.78355,1.58216,0.001151,0.001151,0.001151
30,5345.52,0.77914,0.44021,1.01401,0.90383,0.86695,0.89721,0.58028,1.33188,0.77386,1.63185,0.00114746,0.00114746,0.00114746
31,5530.63,0.78171,0.43767,1.00895,0.93324,0.88343,0.89108,0.59926,1.36461,0.63795,1.69148,0.00114393,0.00114393,0.00114393
32,5715.73,0.76681,0.41995,0.99715,0.9495,0.89941,0.90414,0.60533,1.32232,0.63555,1.7223,0.00114039,0.00114039,0.00114039
33,5901.87,0.79243,0.44115,1.02622,0.93281,0.88406,0.87823,0.58263,1.31692,0.65979,1.65228,0.00113686,0.00113686,0.00113686
34,6087.82,0.77962,0.4288,1.01341,0.9497,0.88557,0.89658,0.59542,1.23204,0.63973,1.54432,0.00113332,0.00113332,0.00113332
35,6273.56,0.78774,0.43602,1.01825,0.94965,0.88458,0.90367,0.58991,1.33305,0.64329,1.73718,0.00112979,0.00112979,0.00112979
36,6459.68,0.76859,0.4355,1.01143,0.94417,0.891,0.9023,0.59583,1.31839,0.67689,1.67962,0.00112625,0.00112625,0.00112625
37,6645.84,0.76556,0.43898,1.01183,0.9446,0.89696,0.90928,0.59346,1.42022,0.68722,1.76208,0.00112271,0.00112271,0.00112271
38,6832.97,0.77048,0.42733,1.00592,0.94021,0.90922,0.9094,0.591,1.29954,0.62949,1.59117,0.00111918,0.00111918,0.00111918
39,7015.98,0.78581,0.44341,1.02189,0.95797,0.89041,0.89938,0.61851,1.24144,0.66951,1.62624,0.00111564,0.00111564,0.00111564
40,7183.13,0.75781,0.42553,1.00049,0.92183,0.88557,0.88163,0.58672,1.3202,0.69813,1.59942,0.00111211,0.00111211,0.00111211
41,7353.53,0.76825,0.42808,1.00548,0.97274,0.88845,0.91223,0.61475,1.22454,0.61988,1.54504,0.00110857,0.00110857,0.00110857
42,7524.15,0.76494,0.42594,1.01068,0.93862,0.89644,0.90337,0.59418,1.38323,0.67169,1.77769,0.00110504,0.00110504,0.00110504
43,7695.78,0.74888,0.4211,1.00252,0.94771,0.88047,0.89525,0.59589,1.46515,0.86007,1.7927,0.0011015,0.0011015,0.0011015
44,7873.3,0.77283,0.43391,1.02138,0.95757,0.88817,0.90387,0.60074,1.29063,0.64058,1.62389,0.00109796,0.00109796,0.00109796
45,8049.05,0.76607,0.42572,0.99847,0.96717,0.89225,0.90588,0.60994,1.18098,0.62908,1.53074,0.00109443,0.00109443,0.00109443
46,8223.96,0.76487,0.42183,1.01172,0.94346,0.88635,0.89741,0.59842,1.23112,0.71022,1.53822,0.00109089,0.00109089,0.00109089
47,8399.63,0.76736,0.4252,1.01602,0.93001,0.88001,0.88852,0.56389,1.46812,0.77534,1.7281,0.00108736,0.00108736,0.00108736
48,8574.86,0.7733,0.43111,1.01514,0.9269,0.8747,0.8936,0.60164,1.32612,0.66204,1.66892,0.00108382,0.00108382,0.00108382
49,8749.38,0.75273,0.41444,1.00647,0.96126,0.90699,0.91723,0.6275,1.19215,0.63845,1.53303,0.00108029,0.00108029,0.00108029
50,8915.95,0.77417,0.41935,1.00142,0.8821,0.90561,0.8973,0.5865,1.26159,0.64311,1.60779,0.00107675,0.00107675,0.00107675
51,9082.51,0.77487,0.42454,1.00556,0.93764,0.89426,0.90766,0.60166,1.30805,0.67312,1.62852,0.00107321,0.00107321,0.00107321
52,9247.37,0.77852,0.42718,1.0062,0.9388,0.86775,0.87843,0.58712,1.3063,0.70027,1.59786,0.00106968,0.00106968,0.00106968
53,9414.07,0.75778,0.41055,1.00138,0.94903,0.87421,0.90548,0.61553,1.2791,0.65164,1.6862,0.00106614,0.00106614,0.00106614
54,9581.96,0.74316,0.40397,0.99449,0.95137,0.89131,0.90215,0.60403,1.32724,0.63561,1.63565,0.00106261,0.00106261,0.00106261
55,9748.56,0.75,0.4189,0.99485,0.93407,0.87045,0.90292,0.59411,1.31718,0.75231,1.7338,0.00105907,0.00105907,0.00105907
56,9914.2,0.76015,0.42478,1.00688,0.93259,0.90731,0.9103,0.59881,1.35048,0.65869,1.66561,0.00105554,0.00105554,0.00105554
57,10080,0.76299,0.41827,0.99759,0.92965,0.89222,0.90746,0.60542,1.35352,0.60179,1.71065,0.001052,0.001052,0.001052
58,10248.2,0.7619,0.41846,0.99346,0.94494,0.89797,0.91569,0.59505,1.36057,0.68693,1.68736,0.00104846,0.00104846,0.00104846
59,10414.9,0.75727,0.43134,1.0065,0.9539,0.90187,0.91096,0.60274,1.31136,0.61381,1.7027,0.00104493,0.00104493,0.00104493
